,naffairs,kids,hap,rel,yrsmarr
1,0,0,4,3,5
2,0,0,4,4,3
3,3,0,4,3,2
4,0,1,4,1,6
5,3,1,5,3,3
6,0,1,5,5,6
7,0,0,3,2,1
8,0,0,5,2,2
9,7,1,2,5,6
10,0,0,3,2,1
11,0,1,4,2,6
12,0,1,2,4,6
13,0,0,5,4,2
14,0,1,2,2,6
15,12,1,2,3,5
16,0,1,4,4,3
17,0,1,4,5,6
18,1,0,5,4,1
19,1,1,5,2,2
20,0,0,4,2,2
21,0,0,4,4,3
22,0,1,5,1,6
23,0,1,3,2,6
24,0,0,4,3,1
25,0,0,5,2,2
26,0,1,5,2,5
27,12,1,2,4,6
28,0,0,5,2,2
29,7,0,4,2,2
30,0,0,5,2,2
31,0,1,4,4,5
32,2,1,4,2,6
33,0,1,5,3,5
34,0,1,4,2,3
35,3,1,2,4,6
36,0,0,5,2,2
37,0,0,5,4,4
38,0,1,4,5,6
39,0,1,5,3,3
40,1,1,2,4,6
41,0,1,4,3,3
42,7,1,4,3,6
43,0,1,3,4,6
44,0,0,5,3,2
45,0,0,4,4,1
46,0,1,4,5,6
47,0,1,4,1,3
48,0,0,3,4,2
49,12,1,1,5,6
50,12,1,2,2,5
51,12,1,2,3,6
52,3,0,5,1,3
53,0,1,4,3,6
54,7,1,3,2,5
55,0,0,5,4,3
56,7,0,5,3,3
57,0,1,5,1,2
58,0,0,5,3,1
59,1,1,5,4,6
60,0,1,5,5,5
61,1,1,5,5,6
62,0,1,3,5,6
63,0,0,4,5,1
64,0,1,1,2,3
65,0,1,3,5,4
66,0,0,5,3,3
67,7,1,4,3,3
68,1,1,4,5,4
69,0,1,5,4,4
70,0,1,4,2,6
71,0,1,5,4,2
72,0,1,4,2,6
73,12,1,4,3,2
74,12,1,2,4,4
75,0,0,5,5,1
76,0,1,4,2,4
77,0,1,5,5,3
78,0,1,4,4,5
79,0,0,5,1,3
80,3,1,4,4,6
81,7,1,3,4,5
82,0,1,1,4,6
83,1,0,2,2,2
84,1,0,4,4,3
85,0,1,4,5,2
86,0,1,5,4,6
87,0,0,4,4,1
88,0,1,4,4,5
89,0,1,2,5,6
90,0,1,4,3,5
91,0,0,5,2,1
92,0,0,5,2,3
93,1,1,3,3,4
94,3,1,4,4,5
95,0,0,4,4,4
96,3,1,2,2,3
97,0,1,5,2,6
98,1,0,5,5,1
99,1,1,5,4,5
100,0,1,4,4,5
101,0,1,5,3,6
102,0,0,5,5,2
103,0,0,4,2,2
104,7,1,4,2,4
105,7,1,4,2,6
106,0,0,5,3,3
107,0,1,5,5,5
108,0,0,5,2,1
109,0,1,3,4,6
110,0,1,5,1,6
111,0,1,5,4,4
112,0,1,5,3,2
113,7,0,3,1,5
114,12,1,5,2,5
115,0,1,5,3,3
116,0,0,5,3,2
117,0,1,2,2,6
118,0,1,5,3,2
119,0,1,5,4,6
120,0,0,4,2,1
121,0,0,3,4,3
122,0,1,5,4,2
123,7,1,4,2,6
124,7,1,3,1,6
125,0,0,4,1,1
126,1,1,3,2,6
127,0,1,5,4,6
128,0,0,2,3,2
129,0,1,5,3,2
130,0,1,4,3,6
131,0,1,4,4,6
132,0,1,3,2,5
133,0,1,4,4,5
134,2,1,5,3,6
135,0,1,3,5,6
136,0,0,4,1,1
137,0,1,5,5,6
138,0,1,1,3,6
139,0,1,4,1,5
140,0,1,5,3,6
141,0,1,5,4,6
142,0,1,5,5,5
143,0,1,4,2,5
144,12,0,4,3,3
145,0,0,5,4,1
146,12,1,2,1,4
147,0,1,5,5,6
148,1,1,5,3,3
149,12,1,5,4,6
150,12,1,1,4,6
151,7,0,4,3,3
152,0,1,4,4,6
153,0,1,4,4,3
154,0,1,4,4,4
155,0,1,4,4,6
156,0,1,3,3,6
157,0,0,4,2,2
158,0,1,5,4,4
159,0,1,5,4,6
160,7,1,5,4,4
161,0,0,5,5,2
162,0,1,4,5,5
163,1,1,4,3,1
164,0,0,4,3,4
165,0,0,5,4,6
166,0,1,2,4,6
167,0,0,4,5,5
168,0,0,5,4,1
169,0,1,4,4,4
170,0,1,5,2,4
171,0,1,4,5,6
172,3,1,4,5,6
173,0,1,3,4,6
174,0,1,2,2,4
175,0,0,5,3,2
176,12,1,4,2,6
177,0,1,5,5,6
178,0,0,5,2,1
179,0,0,5,4,2
180,0,0,5,2,2
181,7,1,4,2,3
182,0,0,5,2,2
183,0,1,3,4,5
184,1,0,5,2,3
185,0,1,5,4,6
186,0,0,5,2,2
187,0,0,3,2,3
188,0,1,3,3,5
189,7,1,3,5,6
190,1,0,3,3,3
191,1,1,4,4,5
192,0,1,4,3,6
193,0,0,5,2,1
194,0,1,4,2,6
195,0,1,5,4,3
196,1,1,4,3,4
197,0,0,4,1,3
198,0,1,4,2,5
199,0,1,4,5,6
200,0,1,3,5,4
201,0,1,4,2,6
202,0,0,3,3,3
203,0,1,4,1,3
204,0,1,4,4,3
205,0,1,3,5,6
206,7,1,1,2,4
207,0,1,4,4,6
208,0,1,4,1,4
209,0,1,3,4,4
210,0,0,3,2,1
211,0,1,3,2,3
212,0,1,3,4,6
213,0,1,3,2,1
214,0,1,3,4,6
215,0,1,1,5,6
216,0,1,2,4,6
217,0,1,3,4,4
218,3,0,2,1,2
219,7,1,4,3,3
220,0,1,5,2,3
221,0,1,5,2,3
222,7,1,4,4,6
223,0,1,5,2,3
224,0,1,5,5,6
225,0,1,4,5,6
226,0,1,4,3,5
227,2,1,4,1,6
228,0,1,2,4,2
229,0,1,2,2,6
230,0,0,4,4,2
231,7,1,2,3,3
232,0,1,4,3,6
233,0,1,2,4,6
234,0,1,5,4,6
235,0,0,5,4,1
236,1,1,4,1,3
237,0,1,5,4,5
238,0,1,4,3,6
239,0,0,5,2,2
240,0,1,2,2,1
241,7,1,4,4,4
242,0,0,4,3,3
243,0,1,4,2,5
244,0,1,3,4,4
245,0,1,4,4,6
246,0,1,2,5,6
247,0,1,5,4,2
248,2,1,4,1,6
249,0,1,3,3,3
250,0,0,5,4,4
251,0,1,5,3,1
252,0,1,5,4,4
253,0,0,5,3,1
254,0,1,5,2,3
255,0,1,5,4,5
256,0,1,5,1,6
257,0,0,5,3,1
258,0,1,4,4,4
259,7,1,2,4,6
260,7,1,3,1,5
261,0,1,4,4,1
262,0,1,4,4,6
263,0,1,3,2,6
264,0,1,4,1,3
265,0,1,3,4,6
266,0,0,5,2,2
267,0,1,2,4,6
268,0,0,5,4,2
269,0,1,5,5,3
270,0,1,5,2,3
271,0,0,5,3,2
272,0,0,3,2,1
273,0,1,2,2,4
274,0,0,3,2,1
275,3,1,1,3,6
276,1,1,4,3,6
277,0,1,2,4,6
278,0,0,5,1,2
279,2,1,3,3,4
280,0,0,4,2,5
281,0,1,3,4,6
282,0,1,3,3,6
283,0,0,5,2,3
284,12,1,2,2,4
285,0,1,2,2,4
286,0,0,5,2,1
287,0,0,5,2,3
288,0,0,5,5,2
289,1,0,5,4,3
290,3,1,4,3,4
291,12,1,5,1,6
292,7,1,3,3,6
293,7,0,5,2,4
294,1,1,3,3,4
295,0,0,5,4,2
296,0,0,3,4,3
297,0,1,4,1,3
298,0,1,5,5,6
299,1,1,4,2,2
300,12,1,2,4,6
301,0,1,3,3,5
302,7,1,4,3,5
303,0,1,5,4,6
304,0,1,5,4,6
305,0,0,4,4,2
306,0,1,4,3,5
307,0,1,5,1,4
308,0,1,4,4,5
309,7,1,3,1,3
310,0,1,4,2,2
311,0,1,5,4,6
312,0,1,5,3,3
313,0,1,4,5,6
314,0,1,5,4,4
315,1,1,3,2,3
316,0,1,5,4,6
317,12,1,3,3,6
318,1,1,5,5,5
319,0,0,4,4,3
320,0,0,5,4,1
321,0,1,3,4,3
322,0,0,5,5,1
323,0,1,5,5,6
324,0,1,5,3,5
325,12,1,2,2,5
326,0,1,4,4,6
327,12,1,3,1,4
328,0,1,4,2,4
329,0,1,4,3,6
330,0,1,5,1,6
331,0,1,5,3,3
332,0,1,4,4,6
333,0,1,4,3,1
334,0,0,3,3,2
335,0,1,5,4,6
336,0,1,4,3,6
337,0,1,4,5,6
338,0,1,3,4,6
339,0,1,4,2,6
340,0,1,5,4,4
341,0,1,4,4,4
342,3,1,2,4,4
343,0,0,5,1,2
344,0,1,4,3,3
345,0,0,5,2,2
346,0,1,4,2,6
347,3,1,4,2,5
348,0,1,4,4,6
349,12,1,3,2,1
350,0,1,5,2,4
351,0,1,5,3,3
352,0,1,3,4,6
353,12,1,4,3,6
354,0,1,4,1,4
355,0,0,5,2,2
356,0,1,3,3,2
357,0,1,5,2,6
358,0,1,1,2,6
359,0,1,5,2,5
360,2,0,3,4,4
361,0,1,5,4,6
362,1,1,5,4,4
363,0,1,5,3,3
364,0,1,5,4,6
365,0,0,5,3,2
366,0,0,3,2,1
367,0,1,3,2,5
368,0,0,4,4,3
369,7,1,2,2,3
370,1,1,3,5,2
371,0,1,1,2,4
372,0,1,3,5,3
373,0,1,5,2,6
374,0,0,4,4,6
375,0,0,5,1,2
376,12,0,1,3,6
377,0,1,4,4,6
378,0,1,4,4,6
379,0,1,4,4,4
380,12,1,2,2,6
381,0,1,3,3,6
382,0,1,4,3,4
383,0,0,2,3,2
384,7,1,4,3,6
385,0,0,5,3,2
386,0,1,2,3,3
387,12,0,2,2,5
388,12,1,1,3,6
389,0,1,2,3,4
390,0,1,4,2,6
391,0,1,4,3,4
392,0,0,5,2,2
393,0,1,4,5,6
394,0,0,3,4,2
395,0,1,5,4,5
396,0,0,3,2,3
397,7,1,5,5,6
398,0,0,5,4,1
399,0,0,5,2,3
400,0,1,3,4,6
401,0,1,4,5,5
402,0,1,2,2,4
403,0,1,5,2,3
404,0,1,4,2,3
405,0,0,5,3,2
406,0,1,4,4,3
407,0,0,4,2,1
408,0,1,5,4,5
409,0,0,3,5,1
410,0,1,3,4,6
411,0,0,5,3,3
412,0,0,2,2,2
413,0,1,5,4,4
414,0,1,5,5,6
415,0,1,4,1,3
416,0,1,3,5,6
417,12,1,4,4,6
418,0,1,5,4,3
419,0,1,5,2,3
420,0,1,4,2,6
421,0,0,4,2,2
422,0,1,4,4,6
423,2,1,3,2,6
424,0,0,5,3,1
425,0,0,5,2,2
426,0,1,4,4,3
427,0,1,5,4,6
428,0,0,5,2,2
429,0,0,5,1,3
430,0,1,4,3,6
431,0,0,5,2,5
432,0,1,5,5,5
433,0,1,3,4,2
434,0,0,4,2,2
435,0,1,4,4,5
436,0,1,4,4,6
437,0,1,5,5,5
438,0,1,5,3,3
439,0,1,2,4,6
440,12,1,3,3,6
441,0,0,5,4,1
442,0,1,5,4,6
443,0,1,5,3,6
444,0,1,5,2,5
445,0,0,5,2,4
446,12,1,2,5,6
447,0,1,3,2,6
448,0,1,4,2,2
449,0,1,5,2,1
450,0,1,4,4,3
451,0,0,4,4,1
452,0,1,5,4,2
453,7,1,4,2,5
454,0,1,3,3,4
455,0,1,3,4,6
456,0,0,2,5,2
457,2,1,4,2,6
458,0,0,5,2,2
459,0,0,5,3,2
460,0,0,4,5,1
461,0,1,5,4,3
462,0,1,5,4,3
463,12,1,2,1,6
464,0,1,5,2,6
465,0,1,3,3,6
466,0,1,5,2,4
467,0,0,4,4,1
468,0,0,5,3,1
469,0,1,5,3,5
470,7,1,3,3,5
471,2,1,1,4,6
472,7,0,5,2,2
473,0,0,5,5,1
474,0,1,4,5,6
475,0,1,5,3,5
476,3,1,2,2,6
477,12,1,4,2,6
478,0,1,5,4,6
479,0,1,5,3,3
480,12,0,5,2,3
481,2,1,5,4,5
482,0,1,5,4,4
483,0,1,5,4,5
484,0,1,4,1,5
485,0,0,4,3,3
486,0,1,2,4,4
487,0,1,2,5,6
488,1,1,3,3,3
489,0,1,5,2,4
490,0,0,3,4,2
491,0,0,5,4,2
492,0,1,4,4,2
493,0,1,5,3,4
494,0,1,4,3,6
495,0,0,5,3,1
496,0,1,5,2,2
497,12,0,5,4,4
498,2,1,5,1,3
499,0,1,5,1,3
500,0,1,5,4,6
501,0,1,5,4,5
502,0,1,4,4,6
503,7,1,4,2,6
504,0,1,2,2,4
505,2,0,1,1,3
506,0,0,5,4,2
507,0,1,4,2,5
508,12,1,5,2,1
509,0,0,4,2,1
510,7,1,4,5,6
511,7,0,5,1,3
512,0,0,5,2,2
513,0,1,4,3,6
514,0,1,5,5,4
515,2,1,4,4,3
516,0,1,4,4,6
517,0,1,2,3,6
518,0,1,2,3,6
519,0,1,2,2,4
520,1,1,2,3,2
521,0,0,5,5,3
522,0,0,5,1,2
523,0,0,5,1,1
524,3,1,4,2,6
525,1,1,4,4,4
526,12,0,2,3,6
527,1,1,3,3,6
528,0,1,5,4,6
529,1,1,4,1,3
530,0,0,3,2,2
531,0,1,5,5,3
532,2,1,3,4,6
533,0,1,5,4,3
534,0,1,4,5,6
535,7,1,4,3,6
536,3,0,3,2,2
537,3,1,2,3,3
538,0,0,3,2,2
539,0,0,1,4,6
540,2,1,5,5,6
541,12,1,5,1,6
542,12,0,5,1,6
543,0,0,5,4,4
544,3,1,4,4,6
545,0,1,4,2,6
546,0,1,5,4,6
547,0,0,4,2,4
548,0,1,5,4,4
549,0,0,3,2,3
550,0,1,5,2,4
551,0,0,3,4,4
552,0,1,4,4,5
553,0,0,5,3,2
554,0,1,3,2,3
555,7,1,2,3,6
556,0,0,5,4,6
557,0,1,3,4,6
558,7,1,2,4,4
559,0,1,5,3,4
560,12,1,2,3,6
561,0,0,5,4,5
562,0,1,5,4,3
563,0,1,4,2,3
564,0,1,1,2,6
565,7,1,2,2,6
566,0,0,4,5,2
567,0,1,4,2,4
568,0,1,5,4,3
569,0,0,5,1,1
570,0,1,4,4,4
571,12,1,4,2,4
572,0,1,3,5,6
573,0,1,4,4,5
574,0,1,4,2,6
575,0,0,5,3,2
576,0,1,4,4,3
577,0,1,5,5,6
578,0,1,2,2,4
579,0,1,4,3,4
580,0,1,4,2,6
581,0,1,4,4,6
582,0,1,3,4,4
583,0,1,2,2,4
584,3,1,3,4,5
585,0,1,3,3,6
586,7,1,2,3,6
587,1,1,5,1,2
588,0,1,5,3,3
589,7,1,4,2,5
590,0,1,4,3,4
591,0,0,5,2,2
592,0,1,4,4,3
593,0,0,5,4,3
594,2,1,5,2,5
595,2,1,2,3,4
596,0,0,5,2,2
597,0,0,4,4,6
598,1,1,5,3,6
599,0,1,2,2,5
600,0,1,4,3,6
601,0,1,4,2,3
